mere,単に。ただ、単なる。,たんに。ただ、たんなる。
finally,ついに、または最終的に。長い時間や努力の末に到達した結果を表します。,ついに、またはさいしゅうてきに。ながいじかんやどりょくのまつにとうたつしたけっかをあらわします。
grave,墓、深刻さを伴う,はか、しんこくさをともなう
severely,過酷なほど厳しく。,かこくなほどいかめしく。
mammal,哺乳類の動物、毛がある。,ほにゅうるいのどうぶつ、けがある。
thereby,それによって、その結果。,それによって、そのけっか。
charm,人を惹きつける魅力。,にんをひきつけるみりょく。
superintendent,監督や管理を行う職務の人。,かんとくやかんりをおこなうしょくむのにん。
situated,ある場所に位置付けられている,あるばしょにいちづけられている
stability,安定性、不変性,あんていせい、ふへんせい
riot,集団による暴動や反乱。,しゅうだんによるぼうどうやはんらん。
yell,叫ぶ、大声を出す,さけぶ、おおごえをだす
party,政党、団体、パーティー。,せいとう、だんたい、ぱーてぃー。
conceive,考え出す、妊娠する,かんがえだす、にんしんする
halt,停止する、中断する,ていしする、ちゅうだんする
establish,設立する、確立する。新しい組織や制度を作り上げること。,せつりつする、かくりつする。あたらしいそしきやせいどをつくりあげること。
superiority,優越点、他に勝る点。,ゆうえつてん、ほかにまさるてん。
while,～する間。あることが行われている間に、同時に別のことが行われることを表す。,~するかん。あることがおこなわれているまに、どうじにべつのことがおこなわれることをあらわす。
usability,使いやすさ、実用性。,つかいやすさ、じつようせい。
pledge,約束する、誓約する、保証,やくそくする、せいやくする、ほしょう
interface,システム間の接続部分,しすてむまのせつぞくぶふん
namely,すなわち、つまり、言い換えると。,すなわち、つまり、いいかえると。
hygiene,衛生、清潔。健康を保つための清潔さや衛生状態の管理。,えいせい、せいけつ。けんこうをたもつためのせいけつさやえいせいじょうたいのかんり。
appetizer,食事前の軽食や前菜。,しょくじまえのけいしょくやぜんさい。
accomplish,目標や課題を成し遂げる、完遂する。,もくひょうやかだいをなしとげる、かんすいする。
extend,延長する。時間、空間、または範囲を広げたり、長くしたりすること。,えんちょうする。じかん、くうかん、またははんいをひろげたり、ながくしたりすること。
caused,結果や事態を引き起こした、原因を作った。,けっかやじたいをひきおこした、げんいんをつくった。
name,名前。人や物などを呼ぶ言葉。,なまえ。にんやものなどをよぶことば。
opposition,反対勢力、対立,はんたいせいりょく、たいりつ
roar,轟音を立てる、咆哮する,ごうおんをたてる、ほうこうする
carve,彫る、切り分ける,ほる、きりわける
destination,目的地。旅行や移動の終着地点や到達する場所を指します。,もくてきち。りょこうやいどうのしゅうちゃくちてんやとうたつするばしょをさします。
democracy,民主主義、政治体制,みんしゅしゅぎ、せいじたいせい
in-store,お店の中で行われる活動。,おみせのなかでおこなわれるかつどう。
handout,配布用の資料や情報。,はいふようのしりょうやじょうほう。
quarterly,四半期。3か月ごとに区切られた期間を指し、1年を4つに分けたうちの一つを意味します。,しはんき。3かがつごとにくぎられたきかんをさし、1ねんを4つにわけたうちのひとつをいみします。
pulse,脈拍、心臓の鼓動、振動,みゃくはく、しんぞうのこどう、しんどう
acquire,技術や知識を習得する,ぎじゅつやちしきをしゅうとくする
waterproof,防水性の、耐水性の,ぼうすいせいの、たいすいせいの
