thousand,千、千の
hear of,のことを聞く
lighthouse,船の目印となる灯台。
define,特定の意味を明確に示す。
evidence,証拠、証明。何かを証明するための事実や資料。
drift,漂流、流れる
not yet,まだ、今のところ
chic,シック、しゃれた
shrink,大きさや量が減る、縮小すること。
take on,を雇う、引き受ける、採用する
pull together,力を結集する、協力する
devastate,荒廃させる、荒らす
spooky,不気味な、怖い
between,～と～の間
distill,蒸留する
match A with B,AをBと適合させる、AをBに合わせる
under,下の
knowledgeable,博識な、見識のある
pile up,を積み上げる、積み重ねる、山積みにする、集積する
wily,ずる賢い、策略のある
buy,買う。お金を払って何かを得ること。
cast the first stone,批判する資格
slap,平手打ち
jug,水差し、じょうろ
egg,卵
probability,事象が起こる確率や見込み
glare at,睨みつける
accurate,正確な、誤りがない。細部まで正しく、誤差のないことを指します。
in the concrete,具体的に、具体化すると
technical,技術的な、専門的な
undermine,弱体化させる、衰退させる
stupendous,途方もない
fast food,ファストフード
bondage,緊縛、縛り
keep something at bay,何かを抑える、遠ざける
library,図書館
look up,を調べる
own,自身の、所有する。
dull,面白みのない、鈍い
civilized,発達した文明をもつ、教養の高い
radiation,放射線、放射
intended,特定の目的や意図がある。
cross over,越えて渡る、超えていく、通り過ぎる
hoarse,しわがれ声の
without,～なしに
immigrate,移住する、移転する
crumble,を粉々にする
pack up,を荷造りする、詰める
faithless,不誠実な、不実な
funding,資金調達、財源。必要なお金を集めること。
abridged,要約された
keep at bay,距離を保つ、抑制する
nip something in the bud,初めのうちに何かを抑止する、未然に防ぐ
omission,省略
occupied,使用中の、占領された
in all likelihood,おそらく、ほぼ確実に
oscillate,振動する
theological,神学の、宗教学的な
pompous,尊大な
stymie,妨害する、阻止する
stratum,地層
take a chance,思い切ってやる
take down,降ろす、書き取る
sensory,感覚の
stiff,硬直した、融通の利かない
layer,層、階層。重なり合った物の一つ一つの段階。「データの layer 構造」
idiot,知能が低いとされる人、馬鹿な人。
raw,生の、未加工の、荒い。
monument,記念や歴史を象徴する碑。
drove,運転した
startling,驚くべき、驚異的な
technological,技術的な、科学技術の
lust,切望、渇望
discrimination,差別・差別的な
brilliant,素晴らしい、輝かしい、優秀な
imprison,刑務所に入れる
realize,わかる、実現する。突然理解したり、目標や夢を現実のものにすること。
strange,普通でない、異常な。
constraint,行動や選択の拘束や制限。
how,どのぐらい
recession,景気後退、経済不況期
configure,構成、設定、配置
in response to,に応じて、に反応して
addicted,癖になった
glean,集める、収集する
cavort,はね回る、跳ねる
tardy,遅れた
previous,以前の。現在の時点や状況よりも前に起こった、または存在したこと。
pastoral,羊飼いの、牧羊人の
put on weight,太る
consider A as B,AをBと見なす、AをBと考える
impinge,衝突する
libel,名誉毀損、中傷
mower,芝刈り機、草刈り機
vocation,天職、職業
narrow down A to B,AをBに限定する、AをBに制限する
manage,何とかうまくやる、管理を行う
pottery,陶器、焼き物、陶芸
get fired,解雇される
culpable,過失のある
miss out on,を逃す
thirsty,のどの乾いた
premonition,予感
fare,交通手段の料金。
imitate,他者を模倣する。
big apple,大都市・ニューヨークの愛称
once,一度、かつて、以前
harbor,港、港湾
pentagon,五角形
honorable,高い評価を受けるべき尊敬できる性質。
integration,統合、一体化
recite,を朗読する、を暗唱する
consciousness,意識、知覚
upstairs,家の上の階層。
goulash,ハンガリーの肉の煮込み
take steps,順序を踏む、対策を打つ
technology,テクノロジー、科学技術。
all ears,耳を傾ける、熱心に聴く
by all means,ぜひとも
shatter,を粉砕する
be related to,と関係がある
quick,速い
lawn,芝生、草地
out of order,故障中で、順番が乱れて
gained,獲得した、得た、習得した。
at the same time,同時に、一斉に
bring,持って来る、連れてくる
watch over,見守る、見張る
crumple,くしゃくしゃにする、よれる
run errands,使い走りをする、お使いをする
refusal,申し出や依頼の拒否。
scramble,をかき混ぜる、素早く進む
illegible,判読不能の
third,3番目
stain,物の汚れやしみ。
artisan,職人
oversee,監督する、管理監督する
stigma,汚名
politics,政治、政策
imitation,他のものを真似する行為やその結果。
short,短い
pay a visit to,を訪問する
unfortunately,不運にも、残念ながら。望ましくない状況を表現する際に使用。
blend in,溶け合う、調和する
live in,に住む
symmetry,対称、左右対称
tangible,具体的な、実体のある
a watched pot never boils,待つと長く感じる
miserly,しみったれた、欲深い
look into,調査する、検討する。特にビジネスで「その件について詳しく調べておきます」という場面で重宝。
contribute,貢献する、寄付する
statue,像
allele,対立遺伝子
brawl,乱闘、乱打、暴行
dwell,居住する、住まう
sinful,罪深い、悪い
herald,使者、使い、代表者
a copy of,の写し
the night before,の前の夜に
amnesia,健忘症
revolt,反乱/反抗する
herein,この場所で
syndicate,企業連合
supposed,想定した、仮定された。
bureaucracy,官僚、官僚制度
occupancy,占有率、収容人数
burly,たくましい、強靭な、頑強な
might just as well do,～するほうがいい
crevice,隙間
sleep in,寝床に入る、ゆっくり寝る
make a decision,決定を下す。
patent,特許、特許権、発明権。
slander,中傷
be able to,できる。あることができる能力があることを表す。
muck,肥やし
accuse A of B,AがBだと非難する
exert,行使する、力をかける。
flattery,お世辞、おべっか
trespass,侵害する、つけ込む
talk back to,に口答えする、言い返す
treasury,国庫、財務省
rowdy,乱暴な
let's,さあ～しよう
melancholy,憂うつ、哀愁
to no purpose,何の目的もなく、無駄に
shudder,身震いする
toy,玩具
breath,息、呼吸
Why not?,やりましょう
bachelor,独身男性、未婚男性
combat,戦闘、格闘、戦う
entertain,楽しませる、もてなす
put emphasis on,に重点を置く、を重んじる
in honor of,に敬意を表して
thanks to,のおかげで、多謝して
hurt,を傷つける
flaw,欠点
take for granted,を当然のことと思う
abandon,を捨て去る、放棄する
quotation,見積価格、引用文
considerate,思いやりのある、配慮深い
assailant,加害者
roast,焙る。食材を直火であぶる調理法や、オーブンで焼くことを指します。
dissect,解剖する
make a mistake,間違いをする
opaque,不透明な、明瞭でない
custodian,管理人、物件や施設の保守管理者。
audible,聞くことのできる
blow in,風が吹き込む、突然現れる
embellish,飾る
considerably,かなりの程度で大きく。
monastery,修道院
anemia,貧血症、赤血球不足
stumble,につまずく
daunt,脅す
fluke,まぐれ当たり、まぐれで
cutlery,ナイフ・フォーク類
according to,によると。～によると、～によればという意味で、情報源を示すときに使われます。
elude,逃げる、逃走する
feign,偽る、装う
vouch,保証する
stillness,静寂、静けさ
patron,後援者、常連客(「愛国者」は誤り)。
installed,システムや設備を設置完了
the other day,先日
tuck,を押し込む、つめ込む
pinch,指でつまむ、または少し引っ張る。
electric,電気に関する、電気で動くもの。
valet,係員
composite,混成の、合成の
complicate,物事を複雑にする
occupant,占有者、居住者
shortage,欠品。必要なものが十分にない状態。不足していること。
